1,40,21.14
2,22,20.68
3,42,21.38
4,101,22.6
5,64,21.68
6,53,21.34
7,42,22.02
8,63,23.34
9,54,24.72
10,92,24.2
11,54,24.24
12,63,23.32
13,54,23.24
14,118,26.38
15,87,23.82
16,53,24.04
17,90,26.62
18,89,26.74
19,40,22.02
20,54,22.28
21,51,23.16
22,54,22.32
23,40,21.54
24,232,26.84
25,41,21.74
26,67,23.6
27,107,24.64
28,53,21.76
29,42,21.12
30,40,20.98
31,51,22.52
32,107,22.94
33,84,23.44
34,40,21.54
35,102,22.72
36,63,23.12
37,77,24.34
38,115,24.36
39,177,30.78
40,104,26.82
41,84,24.98
42,108,27.4
43,77,25.32
44,100,27.16
45,125,30.76
46,107,25.3
47,119,30.5
48,138,30.18
49,136,35.02
50,105,27.24
51,89,26.68
52,121,28.04
53,76,25.96
54,55,22.7
55,65,24.72
56,62,24.9
57,99,22.96
58,148,27.92
59,164,29.08
60,307,37.32
61,456,62.64
62,323,50.14
63,812,111.48
64,636,95.2
65,398,83.38
66,507,72.4
67,362,47.16
68,384,67.16
69,575,71.78
70,533,110.1
71,992,121.46
72,692,94.96
73,628,130.38
74,903,141.7
75,1123,139.52
76,663,92.24
77,770,119.7
78,530,107.74
79,567,99.94
80,560,186.06
81,501,131.5
82,602,115.6
83,659,92.94
84,919,154.44
85,928,171.54
86,1094,201.04
87,808,167.84
88,913,202.28
89,660,170.82
90,751,178.54
91,787,194.56
92,725,170.24
93,698,189.34
94,755,165.76
95,738,236.54
96,916,169.5
97,812,153.1
98,945,159.86
99,984,180.18
100,892,129.9
101,868,181.62
102,896,194.3
103,1126,198.98
104,717,225.04
105,1052,228.34
106,983,201.24
107,986,212.48
108,925,176.08
109,665,119.32
110,772,223.4
111,903,282.34
112,1311,298.88
113,1085,278.28
114,1231,220.6
115,1266,196.38
116,1122,177.48
117,924,180.82
118,833,159.58
119,971,259.24
120,962,234.34
121,937,205.12
122,803,266.7
123,952,272.96
124,795,190.64
125,767,208.06
126,728,256.54
127,775,331.36
128,837,280.02
129,1169,257.42
130,972,282.52
131,1114,308.22
